uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"68d6a161-b7c0-4f29-8e18-9000daf9eae3","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04659",,"ok","small tree","Live, insect damaged",3.0,130,,7.8,,,,,,,,,,,,,,,,,,,,"Hemlock woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"8347dabf-6c3b-4bbc-9f7c-6199c2e77fbb","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04659",,"ok","small tree","Live, insect damaged",5.3,130,,7.8,,,,,,,,,,,,,,,,,,,,"Hemlock woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"6288cacc-c4c8-4806-938f-0485fb0220c5","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04519",,"ok","single bole tree","Live",16.1,130,,14.9,,,,,,,,,,,,,,,,,,,,,"gvanscoy@field-ops.org","Mbara@battelleecology.org",
"35a0a115-b63c-4305-9845-c4f6b7220b1e","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04678",,"ok","small tree","Live, insect damaged",7.4,130,,6.6,,,,,,,,,,,,,,,,,,,,"Hemlock woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"eaab400b-e9c2-40e9-abf4-9172a866842a","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04597",,"ok","sapling","Standing dead",,,,1.1,,,,,,,,1.8,10,,,,,,,,,,,"Woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"ced1517a-5ade-420a-b8fe-d9fe0c2e73fe","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04821",,"ok","single bole tree","Live, insect damaged",11.1,130,,8.5,,,,,,,,,,,,,,,,,,,,"Woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"0cbe74d1-dcd1-4cd8-b703-feefbc79742e","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04820A",,"ok","multi-bole tree","Live, insect damaged",30.2,130,,17.3,,,,,,,,,,,,,,,,,,,,"Woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"bfe8579c-9848-4cfe-ab6f-77ff8d63273d","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04097A",,"ok","multi-bole tree","Standing dead",13.5,130,,15.5,,,,,,,,,,,,,,,,,,,,"Woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"2f7aec1a-71fd-42b0-9c7c-ffe2e69fb4f5","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04591",,"ok","small tree","Standing dead",2.6,130,,2.5,,,,,,,,,,,,,,,,,,,,"Woolly adelgid","gvanscoy@field-ops.org","Mbara@battelleecology.org",
"ca6740ac-f142-4cc3-8fa7-460445bb79bd","HARV_035.basePlot.vst","2018-10-01","vst_HARV_2018","D01","HARV","HARV_035",,"NEON.PLA.D01.HARV.04583",,"ok",,"Downed",,,,,,,,,,,,,,,,,,,,,,,,"Fallen","gvanscoy@field-ops.org","Mbara@battelleecology.org",
