uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"2daf1afd-dd89-4d6d-88dd-3a7edd7647ec","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04032",,"ok","small tree","Live",1.4,130,,3.7,,,,,,,,,,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"d954b7eb-061e-4271-86af-a3c1f6f94006","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04037",,"removed",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Two tags on the same individual","amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"13bcc9e9-848f-4c9e-95d4-cdda9d850b37","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04803",,"ok","sapling","Standing dead",,,,1.9,,,,,,,,10.0,1,,,,,,,,,,,"LELE10","amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"ae89b2a8-5b72-47e5-9476-64928be24968","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04296",,"ok","small tree","Live",2.4,130,,3.2,,,,,,,,,,,,,,,,,,,,"TaxonID not available. Leucaena leucocephala- LELE10","amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"03dcce9a-10ba-48c3-8b19-ba338a4a13a6","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04229",,"ok","single bole tree","Live",19.5,130,,6.8,,,,5.7,5.3,"Open grown",,,,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"b8a10457-c840-43ea-be69-3d9436351f77","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04284",,"ok","liana","Live",1.8,130,,,,,,,,,,,,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"4bb79b13-7875-4b03-b097-4735ec1ff629","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04713",,"unknown",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Individual not found.","amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"19c6bdf4-756a-42dc-b87d-b361a5968de1","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04739",,"ok","single shrub","Live",3.6,130,,4.5,,,,5.2,4.3,,"inverted cone",4.4,10,0.32,0.29,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"3ad72ff0-271d-42c2-88c3-d4c85b315c46","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04226",,"removed",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"1303b200-2650-4bc7-83cd-0e2a475be77a","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04294",,"ok","liana","Live",2.7,130,,,,,,,,,,,,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"6a11986d-468e-4120-af19-300d14e838ae","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04739",,"ok","single shrub","Live",3.0,130,,4.5,,,,5.2,4.3,,"inverted cone",3.7,20,0.32,0.29,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"5c5d961c-f6f3-488e-8cfb-350efe3c147b","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04078",,"unknown",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"1eb9ee55-2eca-446a-b998-12ce37386e36","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04038",,"ok","small shrub","Live",,,,1.0,,,,1.3,0.3,,"cylinder",1.0,10,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"f80086bf-a691-4d4d-b0d4-5c7e5de7613e","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04701",,"ok","single shrub","Live",1.4,130,,1.3,,,,1.5,0.4,,"cylinder",2.0,10,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"668ff338-a0f1-49cd-a0d5-aad691ccdb81","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04068",,"ok","single shrub","Live",4.7,130,,4.5,,,,4.4,2.3,,"inverted cone",5.6,10,0.35,0.30,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"ff68a54e-9720-4d6b-a1ea-501c7f186065","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04234",,"ok","multi-bole tree","Live, physically damaged",17.6,130,,4.5,,,,6.4,6.0,"Full sun",,,,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
"98564677-27e9-4bb6-adaf-aaee78c15a91","GUAN_006.basePlot.vst","2018-02-05","vst_GUAN_2017","D04","GUAN","GUAN_006",,"NEON.PLA.D04.GUAN.04080",,"ok","single shrub","Live",1.3,130,,2.1,,,,1.8,0.5,,"cylinder",1.7,10,,,,,,,,,,,,"amegill@battelleecology.org","wplaza-muniz@battelleecology.org","legacyData"
