uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"5fa60be8-5e5b-4dde-befa-6b42052fff88","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.02571",,"ok","small tree","Live",1.0,130,,6.3,,,,,,,,,,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"6dc4f326-bb7a-45eb-b0c7-90b313effd82","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.00513",,"ok","single bole tree","Dead, broken bole",16.7,130,,2.2,,2.2,,,,,,,,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"a4eb4d28-194b-4400-b676-5c94c315bdfe","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.05246",,"ok","sapling","Live",,,,1.2,,,,,,,,1.3,10,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"998387b1-f596-4454-b893-9cde1bc924c7","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.00668",,"ok","single bole tree","Live",33.1,130,,22.2,,,,,,,,,,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"145b2905-257e-4aeb-85e9-650ad2f7f511","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.05284",,"ok","sapling","Live",,,,1.5,,,,,,,,1.7,10,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"afdf3ddb-2eb7-4a4d-a791-832a380a0139","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.01193",,"ok","sapling","Live",,,,1.7,,,,,,,,1.5,10,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"e466b83a-a73c-4a86-b45f-0e9782fdc0d2","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.00517",,"ok","single bole tree","Live",48.2,130,,21.8,,,,,,,,,,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"eebd02f2-c263-4a18-9284-f5bfbc96b49f","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.05595",,"ok","small shrub","Live",,,,1.1,,,,1.5,1.2,,"inverted cone",2.4,10,0.10,0.10,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"d71d8fc3-7219-4076-8fb5-7a5c4878cf75","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.05770",,"ok","small tree","Live",3.9,130,,6.4,,,,,,,,,,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
"62fbf1b5-64a3-4d51-831c-cb271f16d196","UNDE_047.basePlot.vst","2018-08-10","vst_UNDE_2018","D05","UNDE","UNDE_047",,"NEON.PLA.D05.UNDE.01454",,"ok","single bole tree","Live",11.9,130,,12.6,,,,,,,,,,,,,,,,,,,,,"hcrowley@battelleecology.org","mjoyce@battelleecology.org",
