uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"08ec1bbe-9f96-4f9d-89b0-ad8bf89d9556","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.09090","1","ok","small shrub","Live",,,,0.9,,,,0.1,0.1,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"1b276926-41f1-477b-8631-fa9506ec8018","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06379","1","ok","small shrub","Live",,,,0.5,,,,0.1,0.1,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"8bec1858-ec83-473a-8863-071c606f3906","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.01615","1","ok","small shrub","Live",,,,1.5,,,,0.4,0.3,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"79e52e70-c54d-4a56-b6ce-38af346c9858","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05526","1","ok","small shrub","Live",,,,0.6,,,,0.3,0.1,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"259ce80a-f52b-4b47-9276-da64139b9a94","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05519","2","ok","small shrub","Live",,,,1.5,,,,0.6,0.4,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"6d1acd3f-f6af-4ff2-97f2-c39a49b71460","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06083","1","ok","small shrub","Live",,,,0.8,,,,0.7,0.4,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"d2c22e3f-af2e-48fe-bd54-9eeef975c495","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06383","1","ok","small shrub","Live",,,,0.8,,,,0.2,0.1,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"6174a6e8-adc4-4a66-8bc1-7f6326539e3b","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05525","5","ok","small shrub","Live",,,,1.0,,,,1.6,1.5,,"half-sphere",1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"32fd6a16-dbe4-4540-aeab-1c78a6407ddc","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05525","4","ok","small shrub","Live",,,,1.0,,,,1.6,1.5,,"half-sphere",1.3,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"78f6b24f-fd5d-4b2b-9560-bc70bee61043","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05136","2","ok","small shrub","Standing dead",,,,1.4,,,,0.3,0.3,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"785a7f0f-68ed-43e1-b506-d7457004dc80","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.01619","1","ok","small shrub","Live",,,,1.3,,,,1.3,1.0,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"20c9ae47-8535-4aa9-a84e-59e2e74b91c1","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.01613","2","ok","small shrub","Live",,,,0.7,,,,0.3,0.1,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"fcae2132-4d57-47bb-84f2-a39d9052bc45","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06075","5","ok","small shrub","Live",,,,1.3,,,,1.3,1.2,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"915d4c83-a424-449e-a069-c28e44a539c1","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01880","1","ok","small shrub","Live",,,,0.9,,,,0.2,0.1,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"bbbfd0b9-5cff-4684-aef9-356bfd2299f1","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01868","4","ok","small shrub","Standing dead",,,,0.9,,,,0.4,0.3,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"87cfdc82-bfd5-417e-a32a-909c1ed58690","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06239","1","ok","small shrub","Live",,,,0.5,,,,0.1,0.1,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"2d0ed200-cf59-47a7-8ef1-42c684cd73ba","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06352","1","ok","small shrub","Live",,,,0.5,,,,0.1,0.1,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"862f7eb4-bdcb-479f-9e42-7fdfd4e4bf74","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06390","1","ok","small shrub","Live",,,,0.7,,,,0.2,0.2,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"009331a9-337c-4cf7-b01d-07c9bbd599ec","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01871","1","ok","small shrub","Live",,,,1.0,,,,0.4,0.2,,"cylinder",1.3,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"f39e0a5b-6058-4905-993c-b3bb43329f1e","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01883","1","ok","small shrub","Live",,,,0.9,,,,0.3,0.1,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"b555a5fe-4578-4a70-af1e-64f4fcea8fa4","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06264","1","ok","small shrub","Live",,,,1.4,,,,0.4,0.3,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"ce4271a6-dba7-42f8-a317-8d3c15e9a5eb","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06289","1","ok","small shrub","Live",,,,1.3,,,,0.3,0.2,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"85fcfad5-ce2d-4a45-989a-d6c94d26903e","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06263","1","ok","small shrub","Live",,,,1.5,,,,0.3,0.2,,"cylinder",1.5,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"4c8526a0-9b92-4632-9f97-035cc0ee0dc2","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01885","1","ok","small shrub","Live",,,,1.0,,,,0.4,0.3,,"cylinder",1.6,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"fa92df06-daac-4632-862b-7a853454d0f1","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06278","1","ok","small shrub","Live",,,,0.6,,,,0.2,0.1,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"7b9037e3-b9f3-4034-bfad-9989b476da45","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06245","1","ok","small shrub","Live",,,,1.5,,,,0.4,0.3,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"e09bb463-b138-4415-ad48-9145e9f1f02c","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01869","1","ok","small shrub","Live",,,,1.0,,,,0.4,0.2,,"cylinder",1.6,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"18434d0d-27f6-4f4c-9c80-63cfbb3d2f00","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06276","1","ok","small shrub","Live",,,,1.4,,,,0.3,0.2,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"fd588603-e137-4677-8888-460bedf5a238","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06084","1","ok","small shrub","Live",,,,1.1,,,,0.3,0.1,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"7974c7af-4bd9-4bd4-aef4-2868b15b7eef","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01868","3","ok","small shrub","Standing dead",,,,0.9,,,,0.4,0.3,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"e8c3e79f-e991-4135-8d00-7eed642242c0","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06068","1","ok","small shrub","Live",,,,1.3,,,,0.3,0.2,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"98a05f5c-a758-4738-aca0-facdd4f9305e","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01886","1","ok","small shrub","Live",,,,1.0,,,,0.5,0.3,,"cylinder",1.5,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"45b88a46-1090-447a-9e13-52a5baef452b","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.05502","1","ok","small shrub","Live",,,,0.9,,,,0.3,0.2,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"9cf996b6-2ca9-4265-baac-1f9da93c575a","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05511","1","ok","small shrub","Live",,,,1.5,,,,0.2,0.2,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"820a1394-bd75-46af-8ebd-9c72e760c936","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.09028","1","ok","small shrub","Live",,,,0.5,,,,0.3,0.1,,"cylinder",1.6,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"352d8945-059e-43ba-b46b-f05dedd626a7","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01872","1","ok","small shrub","Live",,,,1.0,,,,0.3,0.3,,"cylinder",1.5,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"2842dbdc-a4ec-4e67-b160-2c4af9a069cc","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05525","3","ok","small shrub","Live",,,,1.0,,,,1.6,1.5,,"half-sphere",1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"f5d6521a-8083-43cb-8f38-9d58108ed7b7","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01869","2","ok","small shrub","Standing dead",,,,1.0,,,,0.4,0.2,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"e925c1ac-d991-4098-861b-4eab4f1e5d8e","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.05507","3","ok","small shrub","Live",,,,0.9,,,,0.3,0.2,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"eec27d40-10a5-4d4f-b1ed-986ac5ee3c65","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06353","1","ok","small shrub","Live",,,,0.6,,,,0.4,0.2,,"cylinder",1.1,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"fb1c389d-7fd1-447f-a09e-47b4075d27a4","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01886","2","ok","small shrub","Live",,,,1.0,,,,0.5,0.3,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"576df9e9-4ecc-4ab9-ad32-662c08754bb9","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06290","1","ok","small shrub","Live",,,,1.7,,,,0.1,0.1,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"24b7a176-e8d2-4409-9125-116c7bc12141","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.01619","2","ok","small shrub","Live",,,,1.3,,,,1.3,1.0,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"0be07194-2042-46b2-8939-e42c568e2e58","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06093","1","ok","small shrub","Live",,,,0.7,,,,0.4,0.2,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"06c3df15-1799-4654-b25a-466d773977b8","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06075","3","ok","small shrub","Standing dead",,,,1.3,,,,1.3,1.2,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"bb9f2151-fbf1-4c99-ab72-ef882bb9d408","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06260","1","ok","small shrub","Live",,,,1.1,,,,0.3,0.2,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"d8397f7a-5a0a-4f80-9dbf-12037902630b","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.04118","1","ok","small shrub","Live",,,,1.0,,,,0.3,0.2,,"cylinder",1.6,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"ea86090f-d217-4829-b205-ec2806a44fb6","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06072","1","ok","small shrub","Live",,,,0.9,,,,0.4,0.2,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"a1391817-3e97-4fcf-8310-f711e9c7ecd1","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01895","1","ok","small shrub","Live",,,,0.9,,,,0.3,0.2,,"cylinder",1.3,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"dda18184-11f2-4287-a054-ee4c06464a96","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.06087","1","ok","small shrub","Live",,,,0.9,,,,0.3,0.2,,"cylinder",1.3,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"5123c22a-88aa-4af1-b500-485a46755775","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.01868","1","ok","small shrub","Live",,,,0.9,,,,0.4,0.3,,"cylinder",1.6,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
"ac048845-b917-4e7c-8dbe-cc6e28fd3c3b","KONZ_043.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_043",,"NEON.PLA.D06.KONZ.06255","1","ok","small shrub","Live",,,,1.1,,,,0.3,0.2,,"cylinder",1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0002-4908-9419",
"f58dc25b-81ad-4d49-9043-73d1b1669aaf","KONZ_058.basePlot.vst","2019-11-07","vst_KONZ_2019","D06","KONZ","KONZ_058",,"NEON.PLA.D06.KONZ.09096","1","ok","small shrub","Live",,,,0.8,,,,0.2,0.1,,"cylinder",1.2,10,,,,,,,,,,,,"0000-0001-8270-1414","0000-0002-3948-8977",
