uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"737c566f-d8ef-460f-99ff-f83a8283a2e6","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10890",,"ok","liana","Live",2.9,50,,,,,,,,,,,,,,,,,,,,,,"F","0000-0002-8839-6825","0000-0002-9190-7358",
"970f5653-3156-461b-950e-e270927e0151","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10944",,"ok","single bole tree","Live",14.8,130,,10.1,,,,5.1,3.7,"Full sun",,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"1f6a76d7-0944-4e64-afb4-9c96c0210a9f","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10929",,"ok","liana","Live",1.6,130,,,,,,,,,,,,,,,,,,,,,,"D","0000-0002-8839-6825","0000-0002-9190-7358",
"113f187f-2f9c-410c-babe-478c5f7a26de","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10958",,"ok","sapling","Live",,,,1.0,,,,,,,,2.8,10,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"012d3745-f720-4696-b423-dec8dc1f49ec","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10976",,"ok","sapling","Live",,,,2.3,,,,,,,,2.0,10,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"e65ffc43-55d7-4695-88eb-845308087070","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10967",,"ok","liana","Live",2.5,130,,,,,,,,,,,,,,,,,,,,,,"A","0000-0002-8839-6825","0000-0002-9190-7358",
"4b33bada-ec58-428e-98b8-153803402549","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10883",,"ok","small tree","Live",2.3,130,,3.6,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"b9605c26-e3fe-4ba1-8baa-1dbf806379b1","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10886",,"ok","liana","Live",1.9,130,,,,,,,,,,,,,,,,,,,,,,"A","0000-0002-8839-6825","0000-0002-9190-7358",
"14bb4e48-b831-4ff6-bb02-00ffee639e29","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10897",,"ok","sapling","Live",,,,1.5,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"a64fbaed-1852-465b-8dd2-c5f61194b03e","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10936",,"ok","liana","Live",1.9,130,,,,,,,,,,,,,,,,,,,,,,"D","0000-0002-8839-6825","0000-0002-9190-7358",
