uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"2ad08866-f576-49fb-aa7b-60aab09cecaf","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00005",,"ok","small shrub","Live",,,,1.5,0.0,,,0.7,0.6,,"ellipsoid or sphere",1.4,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"e9ea93b2-0573-4a3f-8ec8-221a9fc1536d","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00027",,"ok","small shrub","Live",,,,0.7,0.0,,,0.9,0.5,,"ellipsoid or sphere",2.1,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"94d33016-c115-445d-9c8b-25878f749dea","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00024",,"ok","small shrub","Live",,,,0.6,0.0,,,1.0,0.7,,"ellipsoid or sphere",1.2,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"29a7e4a1-c05e-4391-86b6-041e79d7be92","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00005",,"ok","small shrub","Live",,,,1.5,0.0,,,0.7,0.6,,"ellipsoid or sphere",1.1,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"4a177dab-caf8-47ac-bd1a-d6a3fb033387","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00009",,"ok","small shrub","Live",,,,0.4,0.0,,,0.6,0.4,,"ellipsoid or sphere",1.1,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"809fdd4a-27ca-4e85-a64c-695193bb64df","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00013",,"ok","small shrub","Live",,,,0.5,0.0,,,0.5,0.1,,"ellipsoid or sphere",1.6,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"1afbf1a1-287a-4478-8c0d-dd3236dd13de","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00007",,"ok","small shrub","Live",,,,0.7,0.0,,,0.7,0.6,,"ellipsoid or sphere",1.5,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"a7759a50-fc4d-4cac-a3f8-4a9ca6fa2871","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00007",,"ok","small shrub","Live",,,,0.7,0.0,,,0.7,0.6,,"ellipsoid or sphere",1.7,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"50fb6e6a-83db-4944-887f-fbc6907468b0","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00024",,"ok","small shrub","Live",,,,0.6,0.0,,,1.0,0.7,,"ellipsoid or sphere",2.1,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"ba111812-eb2c-49bf-b568-95a368ac00b4","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002",,"NEON.PLA.D12.YELL.00027",,"ok","small shrub","Live",,,,0.7,0.0,,,0.9,0.5,,"ellipsoid or sphere",2.5,10,,,,,,,,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
