uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"0ed8cdf9-d5e2-4106-b077-b6a4a2efacba","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04223",,"ok","small shrub","Live",,,,0.8,,,,1.2,0.6,,"half-sphere",1.0,10,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"f4d29fb5-c58d-456d-9557-3ceed9eed65e","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.08299",,"ok","single bole tree","Live",25.7,130,,11.4,,,,4.3,3.4,"Full sun",,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"c2fac74f-4a4e-4c36-b237-6e615fb1e426","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04220",,"ok","small tree","Live",3.6,130,,2.2,,,,2.0,1.8,,,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"895f70d6-bf79-4a69-ac06-ea2fb789a506","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04222",,"ok","sapling","Live",,,,1.6,,,,,,,,1.8,10,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"759812e3-e293-48b7-bebd-b24bf5cee262","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04214",,"ok","single bole tree","Live",10.3,130,,4.1,,,,2.4,2.2,"Mostly shaded",,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"daf0d9e1-8ad0-4945-b872-7d3c25601279","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04205",,"ok","single bole tree","Dead, broken bole",40.7,130,,8.0,,8.0,,3.2,1.4,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"0b319c98-6afd-4536-b825-0f97fc5506f8","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.08300",,"ok","single bole tree","Live, physically damaged",40.5,130,,15.5,,,,6.0,4.2,"Full sun",,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"90db4073-62fb-442c-b633-327db0c411ee","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04209",,"ok","single bole tree","Live, broken bole",16.8,130,,7.3,,6.6,,2.0,1.1,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"fde8e7ea-0e28-45ed-a73d-726cf008b750","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04210",,"ok","small tree","Live",5.8,130,,1.5,,,,1.3,1.3,,,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
"1b155d9f-df69-4fbe-b5aa-dd38aede7a9a","SOAP_002.basePlot.vst","2019-06-10","vst_SOAP_2019","D17","SOAP","SOAP_002",,"NEON.PLA.D17.SOAP.04204",,"ok","single bole tree","Live",16.9,130,,8.7,,,,4.0,2.9,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-0607-4441","0000-0001-7253-0439",
